category;item;plc;kind;handle;checktime;value;openhab;influxdb
LICHT;GV_Licht_Terras;NEW_LICHT.sig_v0_buiten;BOOL;0;0;0;1;Lichten
LICHT;GV_Licht_Voordeur;NEW_LICHT.sig_v0_voordeur;BOOL;0;0;0;1;Lichten
LICHT;GV_Licht_Gang;NEW_LICHT.sig_v0_gang;BOOL;0;0;0;1;Lichten
LICHT;GV_Licht_Techniek;NEW_LICHT.sig_v0_tech;BOOL;0;0;0;1;Lichten
LICHT;GV_Licht_Dressing;NEW_LICHT.sig_v0_dressing;BOOL;0;0;0;1;Lichten
LICHT;GV_Licht_Badkamer;NEW_LICHT.sig_v0_badkamer;BOOL;0;0;0;1;Lichten
LICHT;GV_Licht_NachtLinks;NEW_LICHT.sig_v0_nachtlinks;BOOL;0;0;0;1;Lichten
LICHT;GV_Licht_NachtRechts;NEW_LICHT.sig_v0_nachtrechts;BOOL;0;0;0;1;Lichten
LICHT;GV_Licht_Slaapkamer;NEW_LICHT.dimsig_v0_slaapkamer;BYTE;0;0;0;1;Dimmers
SCREENS;GV_ScrAuto_Badkamer;SCREENS.scrauto_v0_badkamer;BOOL;0;0;0;1;ScreenMode
SCREENS;GV_ScrAuto_Slaapkamer;SCREENS.scrauto_v0_slaapkamer;BOOL;0;0;0;1;ScreenMode
SCREENS;GV_Screen_Badkamer;SCREENS.scrpos_v0_badkamer_domo;BYTE;0;0;0;1;Screens
SCREENS;GV_Screen_Slaapkamer;SCREENS.scrpos_v0_slaapkamer_domo;BYTE;0;0;0;1;Screens
ACCESS;GV_Deur_Voordeur;SENSORS.dct_v0_voordeur_c01;BOOL;0;0;0;1;Deuren
ACCESS;GV_Deur_Gang_Garage;SENSORS.dct_v0_garage_gang_c05;BOOL;0;0;0;1;Deuren
ACCESS;GV_Deur_Achterdeur;SENSORS.dct_v0_achterdeur_c02;BOOL;0;0;0;1;Deuren
ACCESS;GV_Deur_Berging_Garage;SENSORS.dct_v0_garage_berging_c04;BOOL;0;0;0;1;Deuren
ACCESS;GV_Raam_Slaapkamer;SENSORS.wct_v0_slaapkamer_c06;BOOL;0;0;0;1;Ramen
ACCESS;GV_Raam_Badkamer;SENSORS.wct_v0_badkamer_c07;BOOL;0;0;0;1;Ramen
ACCESS;EV_Raam_Keuken;SENSORS.wct_v1_schuifraam_c08;BOOL;0;0;0;1;Ramen
ACCESS;ZV_Raam_Bureau;SENSORS.wct_v2_bureau_c11;BOOL;0;0;0;1;Ramen
ACCESS;ZV_Raam_Vooraan;SENSORS.wct_v2_straatkant_c13;BOOL;0;0;0;1;Ramen
ACCESS;ZV_Raam_Badkamer;SENSORS.wct_v2_badkamer_c12;BOOL;0;0;0;1;Ramen
TEMP;GV_Temp_Badkamer;SENSORS.dirtemp_v0_badkamer;INT;0;0;0;1;Temperaturen
TEMP;GV_Temp_Buiten;SENSORS.dirtemp_v0_buiten;INT;0;0;0;1;Temperaturen
TEMP;GV_Temp_Berging;SENSORS.dirtemp_v0_berging;INT;0;0;0;1;Temperaturen
TEMP;GV_Temp_Garage;SENSORS.dirtemp_v0_garage;INT;0;0;0;1;Temperaturen
LIGHT;tuin;SENSORS.light_tuin_directval;INT;0;0;0;0;Licht
LIGHT;voordeur;SENSORS.light_voordeur_directval;INT;0;0;0;0;Licht
WIND;min;SENSORS.wind_minspeed;INT;0;0;0;0;Wind
WIND;avg;SENSORS.wind_avgspeed;INT;0;0;0;1;Wind
WIND;max;SENSORS.wind_maxspeed;INT;0;0;0;0;Wind
